~	Tail	Head	Volume	;
	1	2	7.09854204597	;
	1	3	90.0269179432	;
	1	20	258.18429962	;
	2	1	1.30181957229	;
	2	3	163.237816495	;
	2	4	272.279597483	;
	3	1	146.162056928	;
	3	2	190.588252531	;
	3	5	149.924924829	;
	4	8	2.66711873785e-12	;
	4	2	239.132438974	;
	4	5	318.280280007	;
	5	4	181.728005742	;
	5	3	233.41049985	;
	5	20	197.356332979	;
	5	7	283.614274	;
	6	9	333.506281745	;
	6	20	104.58770942	;
	6	7	364.416386198	;
	7	8	314.842563636	;
	7	10	298.182116907	;
	7	5	240.635102341	;
	7	6	413.732348212	;
	8	11	66.328853085	;
	8	4	103.405115756	;
	8	7	392.997040577	;
	9	10	446.169426939	;
	9	14	205.462442699	;
	9	6	223.764375633	;
	10	9	499.566102358	;
	10	11	283.867837789	;
	10	13	272.543990346	;
	10	7	226.364430321	;
	11	8	247.888445782	;
	11	10	334.598121803	;
	11	12	66.1572116832	;
	12	11	298.447088395	;
	12	21	314.717818522	;
	12	22	22.9135536913	;
	12	13	90.3932937136	;
	13	10	203.392695164	;
	13	12	301.534828353	;
	13	14	30.9165466291	;
	14	9	42.3238611689	;
	14	17	70.6116139157	;
	14	13	172.906786088	;
	14	15	88.5891450113	;
	15	16	28.7692458707	;
	15	17	31.9265877107	;
	15	14	77.5546162952	;
	16	24	31.494988128	;
	16	17	138.696557044	;
	16	18	2.95245345839e-12	;
	16	15	32.3101549267	;
	17	16	5.00138008113e-11	;
	17	18	274.032106232	;
	17	14	60.4978005603	;
	17	15	17.3511499385	;
	18	16	107.265676353	;
	18	17	110.64629806	;
	18	19	14.265857559	;
	18	25	42.7975726771	;
	19	18	1.10691323859e-11	;
	19	27	19.3226903446	;
	19	28	14.265857559	;
	20	1	207.845883109	;
	20	5	187.268805392	;
	20	6	165.013653517	;
	21	12	358.779714285	;
	21	22	101.36425559	;
	21	23	170.658239579	;
	22	12	6.89158338553e-12	;
	22	21	154.682683615	;
	22	23	20.8453116898	;
	23	24	123.270954083	;
	23	25	101.435116844	;
	23	21	161.401707317	;
	23	22	51.2501860236	;
	24	16	66.4667778751	;
	24	25	56.2188243487	;
	24	23	32.080339987	;
	25	24	1.48282757077e-11	;
	25	18	0.943298417321	;
	25	28	1.10691323859e-11	;
	25	23	213.774073011	;
	26	27	0.000276055563977	;
	27	26	0.000276055563977	;
	27	19	19.3226903446	;
	28	25	14.265857559	;
	28	19	1.10691323859e-11	;
