~	Tail	Head	Volume	;
	1	2	1263.236750238772	;
	1	3	658.5587208651365	;
	2	1	0.0	;
	2	3	1975.6761625954096	;
	2	4	1107.64182345037	;
	3	1	2933.746588536134	;
	3	2	203.4284705938013	;
	3	5	2378.7454534471244	;
	3	6	2126.427783468879	;
	4	2	50.85711764845033	;
	4	5	1030.285483233726	;
	4	8	286.83195849654703	;
	5	3	3035.4608238330347	;
	5	4	2215.28364690074	;
	5	6	1417.618522312586	;
	5	7	1605.4306671807158	;
	6	3	50.85711764845033	;
	6	5	783.6765671637124	;
	6	7	378.45252513545256	;
	8	4	1747.7860981101735	;
	8	7	3865.1951133708367	;
	7	5	3909.9434865866206	;
	7	6	1497.1106080166983	;
	7	8	1720.9917509792822	;
