~	Tail	Head	Volume	;
	1	2	1255.2556707582808	;
	1	3	671.2675709188734	;
	2	1	0.0	;
	2	3	2013.8027127566202	;
	2	4	1137.175751976319	;
	3	1	1750.3598210995058	;
	3	2	61.60089540499275	;
	3	5	2485.0278709310605	;
	3	6	2111.165430570339	;
	4	2	15.400223851248187	;
	4	5	1067.5149741092362	;
	4	8	275.0201677285106	;
	5	3	1781.160268802002	;
	5	4	2274.351503952638	;
	5	6	1407.443620380226	;
	5	7	1650.181408861312	;
	6	3	15.400223851248187	;
	6	5	822.3608923178285	;
	6	7	385.04031531796454	;
	8	4	1065.1748316531166	;
	8	7	2662.699438221794	;
	7	5	2708.6388106534623	;
	7	6	1494.9190008209177	;
	7	8	1650.1210063710637	;
