~	Tail	Head	Volume	;
	1	2	1240.1307323006781	;
	1	3	723.9194446615168	;
	2	1	0.0	;
	2	3	2030.7878662881533	;
	2	4	1105.5740727738666	;
	3	1	1706.286189339548	;
	3	2	4.394957580880472	;
	3	5	2465.437629042981	;
	3	6	2111.099919621549	;
	4	2	1.098739395220118	;
	4	5	1090.269926937967	;
	4	8	331.7056985748783	;
	5	3	1708.4836681299882	;
	5	4	2264.8381444272927	;
	5	6	1365.5224280577015	;
	5	7	1618.4012781005863	;
	6	3	1.098739395220118	;
	6	5	667.7349857436799	;
	6	7	214.51483698982906	;
	8	4	1355.220617644566	;
	8	7	2671.751743245973	;
	7	5	2675.824623096313	;
	7	6	1705.8283544820804	;
	7	8	1624.3892245343925	;
