~	Tail	Head	Volume	;
	6	9	260.88349354878477	;
	6	7	126.17765772377062	;
	6	20	262.55830227512797	;
	9	14	323.39457419133146	;
	9	6	326.10387501215337	;
	9	10	174.09852056793318	;
	14	17	339.06053509568716	;
	14	15	112.57819402619322	;
	14	9	138.6008489051249	;
	14	13	146.0440009909494	;
	17	18	213.64596271572503	;
	17	15	0.0	;
	17	16	40.24997986449297	;
	17	14	284.6448498960744	;
	18	19	60.7840464814797	;
	18	25	193.94560564158434	;
	18	16	0.0	;
	18	17	52.21858596573136	;
	19	28	0.0	;
	19	27	60.7840464814797	;
	19	18	52.21858596573136	;
	7	6	0.0	;
	7	10	295.5199303638795	;
	7	5	333.7897006779832	;
	7	8	157.4304708827648	;
	10	7	332.30035131695905	;
	10	13	231.41420118037516	;
	10	9	424.11262731750776	;
	10	11	184.45204003738075	;
	21	12	138.6008489051249	;
	21	23	141.4299572225773	;
	21	22	0.0	;
	12	11	138.6008489051249	;
	12	22	0.0	;
	12	13	0.0	;
	12	21	386.33400106019394	;
	23	25	140.6225177716984	;
	23	22	0.0	;
	23	21	91.66112637934545	;
	23	24	0.807439450878909	;
	25	23	52.21858596573136	;
	25	18	41.08368940733888	;
	25	24	0.0	;
	25	28	0.0	;
	3	2	0.0	;
	3	1	332.30035131695905	;
	3	5	99.03509406501765	;
	2	1	118.97173071841742	;
	2	3	0.0	;
	2	4	130.4750314543664	;
	4	5	312.82321047405384	;
	4	8	309.2489981889012	;
	4	2	118.97173071841742	;
	5	4	156.82826444275346	;
	5	7	179.75542260119727	;
	5	20	312.82321047405384	;
	5	3	332.30035131695905	;
	13	10	0.0	;
	13	12	249.21404724077595	;
	13	14	128.24415493054894	;
	15	14	0.0	;
	15	16	107.58166850941852	;
	15	17	4.99652551677464	;
	11	10	212.96091387193175	;
	11	8	228.19068386017923	;
	11	12	137.11995381941804	;
	22	12	0.0	;
	22	23	0.0	;
	22	21	0.0	;
	1	3	99.03509406501765	;
	1	20	244.35926811928513	;
	1	2	130.4750314543664	;
	16	17	0.0	;
	16	24	147.83164837391138	;
	16	18	0.0	;
	16	15	0.0	;
	28	25	0.0	;
	28	19	0.0	;
	20	5	236.0592436179089	;
	20	1	262.55830227512797	;
	20	6	323.51557853553004	;
	24	25	109.19654741117644	;
	24	16	0.0	;
	24	23	39.4425404136141	;
	8	7	148.5066702827009	;
	8	4	291.1448200401211	;
	8	11	255.21866260902357	;
	27	26	60.7840464814797	;
	27	19	52.21858596573136	;
	26	27	52.21858596573136	;
