~	Tail	Head	Volume	;
	6	9	2010.428407991002	;
	6	7	899.8268175780012	;
	6	20	1471.767760641001	;
	9	14	2389.2071641980015	;
	9	6	1979.6597727390003	;
	9	10	616.870526874	;
	14	17	1558.752130218003	;
	14	15	1627.7946762090019	;
	14	9	1946.8536075270024	;
	14	13	1435.0455038409998	;
	17	18	1400.018427269004	;
	17	15	906.5992068870005	;
	17	16	583.4693896789997	;
	17	14	1399.4947374429994	;
	18	19	2004.7401510670027	;
	18	25	332.6269375770001	;
	18	16	1109.6960125049998	;
	18	17	1368.8829778310032	;
	19	28	1036.7465107680007	;
	19	27	2980.343851000004	;
	19	18	1790.0757376830022	;
	7	6	703.2324341829998	;
	7	10	1888.2981370940017	;
	7	5	1825.0220886640006	;
	7	8	856.6743775969995	;
	10	7	1466.4441240209994	;
	10	13	1786.2628498639974	;
	10	9	1028.4554482930002	;
	10	11	810.1054683290012	;
	21	12	1517.4299273790014	;
	21	23	1639.9420343279992	;
	21	22	438.50683130300007	;
	12	11	2105.9888205410016	;
	12	22	1312.3096467410007	;
	12	13	651.5954174180009	;
	12	21	2129.4533720040013	;
	23	25	1368.4005116560036	;
	23	22	1243.5815663489998	;
	23	21	1353.733171621003	;
	23	24	1605.5129108849967	;
	25	23	1255.6235732470002	;
	25	18	717.4815080599998	;
	25	24	1075.8500363010005	;
	25	28	977.5068843840008	;
	3	2	271.62136901300005	;
	3	1	887.924124246001	;
	3	5	1051.3443192459983	;
	2	1	1116.8140912170013	;
	2	3	125.53292821299996	;
	2	4	1394.206059416003	;
	4	5	908.3929998620011	;
	4	8	2199.031052145	;
	4	2	1089.8328486750027	;
	5	4	690.281986025	;
	5	7	2271.5125551129986	;
	5	20	927.2542256410004	;
	5	3	919.0041633380005	;
	13	10	2034.4662885459998	;
	13	12	1029.4673468719996	;
	13	14	808.9701357050009	;
	15	14	1970.773880449	;
	15	16	690.2478898499999	;
	15	17	942.4744518549986	;
	11	10	138.96752599300024	;
	11	8	2595.4391562400015	;
	11	12	2451.610316552002	;
	22	12	1200.839665900999	;
	22	23	1332.4506851069996	;
	22	21	461.10769338500046	;
	1	3	1166.3527209539977	;
	1	20	614.280547239	;
	1	2	1275.0988611580003	;
	16	17	671.3055703740008	;
	16	24	698.3393675129998	;
	16	18	908.3704059680001	;
	16	15	1069.102339057998	;
	28	25	1036.7465107680007	;
	28	19	977.5068843840008	;
	20	5	1023.2935223449981	;
	20	1	720.4799128879997	;
	20	6	1699.1307792880011	;
	24	25	1072.7860559910002	;
	24	16	963.7043908789983	;
	24	23	1343.2118678290008	;
	8	7	635.4435408260003	;
	8	4	2745.778335241001	;
	8	11	2269.9227099149966	;
	27	26	2980.343851000004	;
	27	19	2824.919063999997	;
	26	27	2824.919063999997	;
