~	Tail	Head	Volume	;
	6	9	1974.1473142678328	;
	6	7	819.7855615931264	;
	6	20	1429.7072595421578	;
	9	14	2426.8680699136726	;
	9	6	1927.0999439539805	;
	9	10	457.3271076984	;
	14	17	1559.3528252515812	;
	14	15	1638.7308012972683	;
	14	9	1865.1477792691837	;
	14	13	1380.405379678873	;
	17	18	1372.9792904595834	;
	17	15	990.0054053006452	;
	17	16	577.54989188978	;
	17	14	1336.817752614147	;
	18	19	2020.0329359485904	;
	18	25	353.3434769096306	;
	18	16	899.1802913300426	;
	18	17	864.0219340116129	;
	19	28	717.9942013192765	;
	19	27	2995.4524467590045	;
	19	18	1243.0294590222331	;
	7	6	665.0108631151553	;
	7	10	1856.6292635943441	;
	7	5	1757.10318631016	;
	7	8	883.1340607729521	;
	10	7	1425.4669721895298	;
	10	13	1801.9674456777211	;
	10	9	972.0000280290258	;
	10	11	902.8134685084855	;
	21	12	1461.0185000352317	;
	21	23	1716.5684195833132	;
	21	22	514.5235031640509	;
	12	11	2005.494362667184	;
	12	22	1364.668289082266	;
	12	13	673.8276788966228	;
	12	21	2169.5122101501875	;
	23	25	1427.9226431904392	;
	23	22	1194.2418186652424	;
	23	21	1299.8916450235888	;
	23	24	1688.6301285741474	;
	25	23	1183.2689013182915	;
	25	18	638.0582166440269	;
	25	24	918.0994436507676	;
	25	28	976.8345364695874	;
	3	2	236.1177275394248	;
	3	1	885.7193267081483	;
	3	5	1054.2907736923755	;
	2	1	1132.8679592825831	;
	2	3	108.90359965689726	;
	2	4	1368.9492774815812	;
	4	5	995.0436635803243	;
	4	8	2183.3691968566077	;
	4	2	1115.1269535323588	;
	5	4	619.2950637867306	;
	5	7	2273.840719463145	;
	5	20	946.918686578924	;
	5	3	909.5775359791779	;
	13	10	1982.8492342854686	;
	13	12	1078.683547224992	;
	13	14	794.6677227427537	;
	15	14	1885.2832402263334	;
	15	16	696.7896115500657	;
	15	17	947.8291534840655	;
	11	10	134.73500288639548	;
	11	8	2528.233029193953	;
	11	12	2501.6631287597475	;
	22	12	1172.137364776293	;
	22	23	1401.1532603131595	;
	22	21	500.1429858221075	;
	1	3	1157.6466923038738	;
	1	20	802.1522371270366	;
	1	2	1259.476155349279	;
	16	17	630.809402880569	;
	16	24	640.5913787758572	;
	16	18	882.5116720740377	;
	16	15	901.1657986625521	;
	28	25	717.9942013192765	;
	28	19	976.8345364695874	;
	20	5	943.1943822251155	;
	20	1	718.3597120367368	;
	20	6	1631.529328333982	;
	24	25	1056.0668391389986	;
	24	16	881.5584576231262	;
	24	23	1309.6956542386522	;
	8	7	642.7841205468161	;
	8	4	2695.6288366122744	;
	8	11	2256.323329664415	;
	27	26	2995.4524467590045	;
	27	19	1959.608634682335	;
	26	27	1959.608634682335	;
