~	Tail	Head	Volume	;
	6	9	2041.5388523207846	;
	6	7	845.0862778200824	;
	6	20	1469.112723727364	;
	9	14	2343.6789772246366	;
	9	6	1976.8756579281142	;
	9	10	624.8683914438361	;
	14	17	1525.2127059339416	;
	14	15	1602.6240165528184	;
	14	9	1970.6397797304926	;
	14	13	1461.5471849263383	;
	17	18	1289.3452155000036	;
	17	15	1040.0210570730221	;
	17	16	599.1987639413825	;
	17	14	1415.305324428161	;
	18	19	2068.7324177566306	;
	18	25	302.3332272399613	;
	18	16	963.9468963339253	;
	18	17	958.8153729796835	;
	19	28	904.16278128305	;
	19	27	3069.8784080704654	;
	19	18	1533.5815244310081	;
	7	6	690.7178097579954	;
	7	10	1924.6221224090511	;
	7	5	1804.4829377952842	;
	7	8	889.521907775429	;
	10	7	1462.469245695623	;
	10	13	1743.3547711933597	;
	10	9	933.2443945453025	;
	10	11	836.4019645457842	;
	21	12	1538.1171922744388	;
	21	23	1723.7322771297972	;
	21	22	557.0778085906248	;
	12	11	2114.014811261073	;
	12	22	1302.5120335879142	;
	12	13	705.8283058177809	;
	12	21	2074.5861712334176	;
	23	25	1422.1958401256845	;
	23	22	1269.9629285158833	;
	23	21	1381.28145843854	;
	23	24	1704.172497842728	;
	25	23	1250.7635193533692	;
	25	18	664.4182595562175	;
	25	24	932.791016288828	;
	25	28	1002.6443234239639	;
	3	2	258.19152713126005	;
	3	1	887.1678348403366	;
	3	5	1064.5196479455888	;
	2	1	1140.3724401991194	;
	2	3	151.7589927242102	;
	2	4	1397.8599403305407	;
	4	5	913.7664122776162	;
	4	8	2255.0582007797866	;
	4	2	1152.8330184507317	;
	5	4	557.0469533319741	;
	5	7	2353.660587795474	;
	5	20	975.3605792470685	;
	5	3	881.335745689171	;
	13	10	2097.989636230423	;
	13	12	1007.9584157494353	;
	13	14	804.7822099576207	;
	15	14	1996.2571755331853	;
	15	16	687.7076028607993	;
	15	17	919.7801792268914	;
	11	10	266.4369120516275	;
	11	8	2597.900427293493	;
	11	12	2415.745722666107	;
	22	12	1235.119991210205	;
	22	23	1404.238733915625	;
	22	21	490.19404556859365	;
	1	3	1176.7842715038003	;
	1	20	542.2746378068525	;
	1	2	1278.9668276718776	;
	16	17	773.9177103723147	;
	16	24	644.7876045906597	;
	16	18	806.482914822968	;
	16	15	961.0998839950361	;
	28	25	904.16278128305	;
	28	19	1002.6443234239639	;
	20	5	984.6348680451977	;
	20	1	718.0096200903436	;
	20	6	1688.14438618212	;
	24	25	947.4380735533005	;
	24	16	935.4348506448723	;
	24	23	1398.878194524048	;
	8	7	648.1286664265814	;
	8	4	2764.6855832177534	;
	8	11	2329.6662862043822	;
	27	26	3069.8784080704654	;
	27	19	2436.245972603932	;
	26	27	2436.245972603932	;
